,loan_word,original_word,cos_similarity
622,दीवार,دیوار,0.67481464
623,दुकान,دکان,0.62283754
624,दुख़्तर,دختر,0.4674709
625,दुम,دم,0.60300004
626,दुरुस्त,درست,0.33590543
627,दुश्मन,دشمن,0.5951396
628,दुश्मनी,دشمنی,0.55641705
629,दुश्वार,دشوار,0.5246854
630,दूरबीन,بین,0.38225076
631,देर,دیر,0.44307756
632,देव,دیو,0.540479
633,देह,ده,0.35421965
634,दोआब,دو آب,0.5731022
635,दोस्त,دوست,0.5807501
636,दोस्ताना,دوستانه,0.46622798
637,दोस्ती,دوستی,0.60219413
638,दौर,دور,0.5981542
639,दौलतमंद,دولتمند,0.59378576
640,नक़ल,نقل,0.35654622
641,नक़ली,نقلی,0.36445457
642,नक़ाब,نقاب,0.59087706
643,नक़ाबपोश,نقاب,0.59087706
644,नक़्क़ाशी,نقاشی,0.42272145
645,नक़्शा,نقشه,0.4811694
646,नग़मा,نغمه,0.5784721
647,नज़र,نظر,0.4438482
648,नज़रिया,نظریه,0.33235234
649,नजूमी,نجمی,0.70903707
650,नज्द,نجد,0.5983705
651,नतीजा,نتیجه,0.43233755
652,नदारद,نه دارد,0.4431768
653,नफ़रत,نفرت,0.40172377
654,नम,نم,0.6140554
655,नमक,نمک,0.72181404
656,नमकीन,نمکین,0.7238804
657,नमाज़,نماز,0.5990826
658,नमी,نمی,0.6889177
659,नमूना,نمونه,0.40665826
660,नर,نر,0.64195204
661,नरगिस,نرگس,0.66341496
662,नरम,نرم,0.6414945
663,नवाज़,نواز,0.5555553
664,नवीद,نوید,0.556937
665,नशा,نشئه,0.6003192
666,नसीहत,نصیحت,0.6013286
667,नस्तालीक़,نستعلیق,0.6914787
668,नस्ल,نسل,0.4261987
669,ना-,نا,0.66135925
670,नाइनसाफ़ी,نا‌انصافی,0.68849283
671,नाख़ून,ناخن,0.680023
672,नाज़,ناز,0.616416
673,नाज़ुक,نازک,0.57699955
674,नाज़ुकी,نازکی,0.6471072
675,नादान,نادان,0.66063696
676,नादानी,نادانی,0.7452316
677,नादिरशाही,نادر شاه,0.5576202
678,नादिरी,نادر,0.6525746
679,नान,نان,0.62927073
680,नाफ़,ناف,0.6803848
681,नामी-गिरामी,گرامی,0.4326573
682,नामो-निशान,نام و نیشان,0.5058296
683,नायाब,نایاب,0.6702762
684,नारा,نعره,0.68123186
685,नाश्ता,ناشتا,0.6312781
686,निकाह,نکاح,0.61397016
687,निगरानी,نگرانی,0.48469582
688,निगाह,نگه,0.6653882
689,निवाला,نواله,0.63633716
690,निशान,نشان,0.42149305
691,निसार,نثار,0.62130004
692,नुमाइंदगी,نمایندگی,0.56961495
693,नुमाइंदा,نماینده,0.39337435
694,नुमाइश,نمایش,0.29378295
695,नुसख़ा,نسخه,0.32163295
696,नेकी,نیکی,0.62734073
697,नेस्तनाबूद,نیست و نابود,0.43283916
698,नौकर,نوکر,0.57854277
699,नौकरानी,نوکر,0.57854277
700,नौकरी,نوکری,0.5724233
701,नौबत,نوبت,0.671496
702,पंजा,پنجه,0.5662313
703,पनाह,پناه,0.7343172
704,पनाहगाह,پناهگاه,0.7343172
705,पनीर,پنیر,0.7485503
706,पयाम,پیام,0.5623896
707,पर,پر,0.49710295
708,परंदा,پرنده,0.5692991
709,परगना,پرگنه,0.6762133
710,परचम,پرچم,0.49641806
711,परवरदिगार,پروردگار,0.53665847
712,परवरिश,پرورش,0.57513505
713,परवाज़,پرواز,0.5427556
714,परवानगी,پروانگی,0.6440557
715,परवाना,پروانه,0.6878063
