loan_word,original_word
grundnorm,Grundnorm
Grunow,Grunow
Grupp,Grupp
Guck,Guck
Guenther,Guenther
gugel,Kogel
Guhl,Guhl
guhr,Guhr
gulasch,Gulasch
guldengroschen,Guldengroschen
Gumbert,Gumbert
Gunter,Gunther
Gunther,Gunther
Gussow,Gussow
Gut,Gut
Gutekunst,Gutekunst
guten Tag,guten Tag
Gutenberg,Gutenberg
Gütersloh,Gütersloh
Gutwein,Gutwein
Gutzmer,Gutzmer
Gygax,Gygax
Haacker,Haacker
haarscheibe,Haarscheibe
Haase,Haase
Habecker,Habecker
Haberkorn,Haberkorn
Haberle,Haberle
Habermehl,Habermehl
Habig,Habig
Hackl,Hackl
Hackmann,Hackmann
Hader,Hader
Haecker,Häcker
Haefele,Häfele
Hafner,Hafner
Hagemeier,Hagemeier
Hagemeyer,Hagemeyer
Hagen,Hagen
Hagenbuch,Hagenbuch
Hagner,Hagner
Hahn,Hahn
hakenkreuz,Hakenkreuz
Halberstadt,Halberstadt
Halder,Halder
Halfmann,Halfmann
Halleck,Halleck
Hallig,Hallig
Hallstatt,Hallstatt
Haltiwanger,Haltiwanger
Hamburg,Hamburg
hamburger,Hamburger
Hamelin,Hameln
Hamler,Hamler
Hampe,Hampe
hamster,Hamster
Handlanger,Handlanger
Hanft,Hanft
hangerock,Hängerock
Hankel,Hankel
Hanni,Hänni
Hans,Hans
Hansmann,Hansmann
Hanswurst,Hanswurst
Hantz,Hantz
Happ,Happ
Happe,Happe
Harl,Harl
Harlacher,Harlacher
Harle,Härle
harmonica,Harmonika
Harnack,Harnack
Harnisch,Harnisch
Harpel,Harpel
Harrer,Harrer
Hartenstein,Hartenstein
Hartje,Hartje
Hartlaub,Hartlaub
Hartstein,Hartstein
Harz,Harz
Haselhorst,Haselhorst
hasenpfeffer,Hasenpfeffer
Haske,Haske
Hasse,Hasse
Hasselhoff,Hasselhoff
Hast,Hast
Hauer,Hauer
Hauerland,Hauerland
Haufschild,Haufschild
Hauptvermutung,Hauptvermutung
Hauschild,Hauschild
Hauschildt,Hauschildt
hausen,Hausen
Hauser,Hauser
Hausfrau,Hausfrau
Hauswald,Hauswald
Hauswirth,Hauswirth
Haut,Haut
Hauter,Häuter
hawsom,Hausen
Haydn,Haydn
Hayer,Hayer
Hebenstreit,Hebenstreit
Heberer,Heberer
Heberle,Heberle
Heberlein,Heberlein
Hechinger,Hechinger
heckelphone,Heckelphon
Hedtke,Hedtke
Hedwig,Hedwig
Heeg,Heeg
hefeweizen,Hefeweizen
Hefley,Häfele
heft,*habiþō
Hegel,Hegel
Hehr,Hehr
Heibel,Heibel
Heiberger,Heiberger
Heichel,Heichel
Heidorn,Heidorn
heil,Heil
Heiligenberg,Heiligenberg
heiligenschein,Heiligenschein
Heilsgeschichte,Heilsgeschichte
Heim,Heim
Heimbach,Heimbach
Heimweh,Heimweh
Heine,Heine
Heineck,Heineck
Heineken,Heineken
Heinrich,Heinrich
Heisenberg,Heisenberg
Heisig,Heisig
Heisner,Heisner
Heister,Heister
Heizer,Heizer
heldentenor,Heldentenor
Helf,Helf
Helget,Helget
heller,Heller
helles,Helles
Helmbrecht,Helmbrecht
Helmer,Helmer
Helmerich,Helmerich
Helmig,Helmig
Hemker,Hemker
Hengel,Hengel
Hengst,Hengst
Henneke,Henneke
Hensel,Hänsel or Hensel
hep,hep
Herbart,Herbart
Herbrand,Herbrand
Herbst,Herbst
Herdt,hart
Hereth,Hereth
Herisau,Herisau
Herne,Herne
heroin,Heroin
Herren,Herren
herrenvolk,Herrenvolk
Herrig,Herrig
Herrnhuter,Herrnhuter
Hertenstein,Hertenstein
Hertha,Hertha
Hertlein,Hertlein
Hertz,Hertz
Herwarth,Herwarth
Herzel,Herzel
Herzog,Herzog
Hesch,Hesch
Hesse,Hesse
Hesseman,Hessemann
Heuring,Heuring
hexenbesen,Hexenbesen
hexenmeister,Hexenmeister
Heyden,Heyden
Hickel,Hickel
hidradenitis,Hidradenitis
Hiester,Hiester
Hildebrand,Hildebrand
Hildegard,Hildegard
Hilgenberg,Hilgenberg
Hillegass,Hillegass
Hillesheim,Hillesheim
Himmel,Himmel
Himmelberger,Himmelberger
Hinderer,Hinderer
Hinkel,Hinkel
Hinnenkamp,Hinnenkamp
Hinners,Hinners
hinterland,Hinterland
Hintermeier,Hintermeier
Hirschberg,Hirschberg
histone,Histon
historism,Historismus
Hiwi,Hiwi
Hobert,Hobert
Hobl,Hobl
Hochschild,Hochschild
hochwohlgeboren,hochwohlgeboren
Hoeffner,Höffner
Hoeger,Höger
Hoelzel,Hölzel
Hoeppner,Höppner
hof,Hof
Hoffarth,Hoffarth
Hoffenberg,Hoffenberg
Hoffman,Hoffmann
Hoffmeister,Hoffmeister
Hofschild,Hofschild
Hohenstaufen,Hohenstaufen
Hohenzollern,Hohenzollern
hohlraum,Hohlraum
Holbach,Holbach
Holderbaum,Holderbaum
Holdorf,Holdorf
Hollinder,Hollinder
holocoen,Holocoen
holosaprophyte,Holosaprophyt
Holste,Holste
Holzhauer,Holzhauer
Homann,Homann
homeopathy,Homöopathie
Homeyer,Homeyer
homoeopath,Homöopath
homosexual,Homosexual
Horch,Horch
Hornbacher,Hornbacher
hornblende,Hornblende
Hornburg,Hornburg
hornfels,Hornfels
horst,Horst
Horst,Horst
Hostettler,Hostettler
Hottel,Hottel
Hottenstein,Hottenstein
house frau,Hausfrau
Hovermale,Habermehl
Howald,Howald
hoy,Heu
Huber,Huber
Hübschmann,Hübschmann
huchen,Huchen
Hucke,huck
Huebsch,Hübsch
Hueffer,Hüffer
Huettl,Hüttl
Hufnagel,Hufnagel
hügelkultur,Hügelkultur
Hulskamp,Hülskamp
Hultz,Hültz
Huneke,Hüneke
Hurler,Hurler
Husser,Hüsser
Huster,Huster
Hutzel,Hutzel
Huwe,Huwe
Huy,Huy
hypomania,Hypomanie
Ich,Ich
ich-laut,Ich-Laut
idioticon,Idiotikon
Ilgenfritz,Ilgenfritz
Illig,Illig
Imhoff,Imhoff
Imig,Imig
Imler,Imler
Immelman,Immelmann
Immelmann,Immelmann
Ingber,Ingber
inlaut,Inlaut
inselberg,Inselberg
Interlaken,Interlaken
intersex,Intersexe
ipsissimosity,Ipsissimosität
