loan_word,original_word
irq,عِرْق
irs,إِرْث
irtidad,اِرْتِدَاد
ishal,إِسْهَال
islah,إِصْلَاح
islahat,إِصْلَاحات
İslam,إِسْلَام
israr,إِصْرَار
istedad,اِسْتِعْدَاد
istefa,اِسْتِعْفَاء
istehlak,اِسْتِهْلَاك
istehsal,اِسْتِحْصَال
istiarə,اِسْتِعَارَة
istifadə,اِسْتِفَادَة
istilah,اِصْطِلَاح
istintaq,اِسْتِنْطَاق
istiqamət,اِسْتِقَامَة
istiqlal,اِسْتِقْلَال
istirahət,اِسْتِرَاحَة
istisna,اِسْتِثْنَاء
itaət,إطاعة
ittiham,اِتِّهَام
ixrac,إِخْرَاج
ixtilal,اِخْتِلال
ixtisar,اِخْتِصَار
ixtisas,اِخْتِصَاص
ixtiyar,اِخْتِيَار
izah,إيضاح
izdiham,اِزْدِحَام
iztirab,اِضْطِرَاب
izin,إِذْن
iğtişaş,إِغْتِشَاش
işarə,إِشَارَة
iştibah,إِشْتِباه
iştirak,اِشْتِرَاك
işğal,إِشْغَال
şahid,شَاهِد
şam,شَمْع
şaquli,شَاقُولِيّ
şatır,شَاطِر‎
şer,شِعْر
şeytan,شَيْطَان
şeir,شِعْر
şura,شُورَى
şöbə,شُعْبَة
şüa,شُعَاع
şüar,شِعَار
şübhə,شُبْهَة
şiddət,شِدَّة
şifahi,شَفَهِيّ
şikayət,شِكَايَة
şirkət,شَرِكَة
şiə,شِيعَة
şəbəkə,شَبَكَة
şəcərə,شَجَرَة
şəfa,شِفَاء
şəhadət,شَهَادَة
şəhid,شَهِيد
şəkk,شَكّ
şəkil,شَكْل
şəlalə,شَلَّال
şər,شَرّ
şərab,شَرَاب
şərait,شَرَائِط
şərbət,شَرْبَة
şərh,شَرْح
şərq,شَرْق
şərqi,شَرْقِيّ
şərt,شَرْط
şərti,شَرْطِيّ
şərəf,شَرَف
şəxs,شَخْص
şəxsi,شَخْصِيّ
şəxsiyyət,شَخْصِيَّة
Əbdülməcid,عَبْد الْمَجِيد
əbədi,أَبَدِيّ
əbədiyyət,أَبَدِيَّة
əcaib,عَجَائِب
əcdad,أجداد
əcəl,أَجَل‎
ədalət,عَدَالَة
ədat,أَدَاة
ədliyyə,عَدْلِيَّة
