loan_word,original_word,loan_word_ipas,original_word_ipas
मेहरबान,مهربان,[],"['/mihɾabɑːn\xa0~mihɾubɑːn/', '/mɪhɾabɒːn\xa0~mɪhɾʊbɒːn/', '/meːɾabɒːn\xa0~meːɾʊbɒːn/', '/mehɾæbɒːn\xa0~mehɾobɒːn/', '/mehɾɒːbuːn\xa0~mehɾobuːn/', '/mehɾabɔːn\xa0~mehɾubɔːn/']"
मेहरबानी,مهربانی,['/meːɦɾ.bɑː.niː/'],"['/mihɾabɑːniː/', '/mɪhɾabɒːniː/', '/mehɾæbɒːniː/', '/mehɾabɔːniː/']"
मैदान,میدان,"['/mɛː.d̪ɑːn/', '/məi.d̪an/']","['/majdɑːn/', '/majdɒːn/', '/mejdɒːn/', '/majdɔːn/']"
मोम,موم,['/moːm/'],['/muːm/']
मोहलत,مهلت,"['/moːɦ.lət̪/', '/mʊɦ.lət̪/']",[]
मौजूदगी,موجودگی,['/mɔː.d͡ʒuːd̪.ɡiː/'],['/mɔː.d͡ʒuː.d̪ᵊ.ɡiː/']
मौलवी,مولوی,['/mɔːl.ʋiː/'],[]
मौला,مولا,['/mɔː.lɑː/'],['/mɔː.lɑː/']
मौलाना,مولانا,['/mɔː.lɑː.nɑː/'],"['/mæwlɒːˈnɒː/', '/mowlɒːˈnɒː/']"
मौसम,موسم,['/mɔː.səm/'],"['/maw.sim/', '/muː.sim/', '/maw.sim/', '/mawsim/', '/mawsɪm/', '/mowsem/', '/mavsim/', '/mɔː.səm/']"
मौसीक़ी,موسیقی,"['/mɔː.siː.kiː/', '/mɔː.siː.qiː/']","['/muːsiːqiː/', '/muːsiːqiː/', '/muːsiːɢiː/', '/musiqiː/']"
म्यान,میان,['/mjɑːn/'],"['/mijɑːn/', '/mijɒːn/', '/mijɒːn/', '/mijɔːn/']"
यख़,یخ,[],"['/jax/', '/jax/', '/jæx/', '/jax/', '/jəx/']"
यतीम,یتیم,['/jə.t̪iːm/'],"['/jatiːm/', '/jatiːm/', '/jætiːm/', '/jatim/']"
यमन,یمن,['/jə.mən/'],"['/jaman/', '/jaman/', '/jæmæn/', '/jaman/', '/jə.mən/']"
यहूदिया,یهودیه,[],[]
यहूदीया,یهودیه,[],[]
या,یا,"['/jɑː/', '/jɑː/', '/jɑː/']","['/jɑː/', '/jɒː/', '/jɒː/', '/jɔː/', '/jɑː/']"
याक़ूत,یاقوت,[],"['/jɑːqut/', '/jɒːqʊt/', '/jɒːɢot/', '/jɔːqut/']"
याद,یاد,"['/jɑːd̪/', '/jɑː.dɐ/', '/ˈjɑː.d̪ɐ/']","['/jad/', '/jaːd/', '/jɑːd/', '/jɒːd/', '/jɒːd/', '/jɔːd/']"
याददाश्त,یادداشت,['/jɑːd̪.d̪ɑːʃt̪/'],[]
यार,یار,['/jɑːɾ/'],"['/jɑːɾ/', '/jɒːɾ/', '/jɒːɾ/', '/jɔːɾ/', '/jɑːɾ/']"
यारी,یاری,[],[]
यूनान,یونان,['/juː.nɑːn/'],['/juː.nɑːn/']
यौम,یوم,['/jɔːm/'],[]
रंगीन,رنگین,['/ɾəŋ.ɡiːn/'],"['/ɾanɡiːn/', '/ɾanɡiːn/', '/ɾænɡiːn/', '/ɾanɡin/']"
रंज,رنج,[],[]
रंजिश,رنجش,['/ɾən.d͡ʒɪʃ/'],[]
रईस,رئیس,['/ɾə.iːs/'],[]
रक़ीब,رقیب,"['/ɾə.kiːb/', '/ɾə.qiːb/']",[]
रक़्स,رقص,"['/ɾəks/', '/ɾəqs/']","['/ɾaqs/', '/ɾaqs/', '/ɾæɢs/', '/ɾaqs/', '/ra.ʔasˤ/', '/ra.ɡasˤ/']"
रफ़ू,رفو,"['/ɾə.pʰuː/', '/ɾə.fuː/']",[]
रफ़्तार,رفتار,[],"['/ɾaftɑːɾ/', '/ɾaftɒːɾ/', '/ɾæftɒːɾ/', '/ɾaftɔːɾ/', '/ɾəf.t̪ɑːɾ/']"
रमज़ान,رمضان,"['/ɾəm.d͡ʒɑːn/', '/ɾəm.zɑːn/']","['/ra.ma.dˤaːn/', '/ram.dˤaːn/', '/rum.dˤaːn/', '/ramadan/', '/ɾamazɑːn/', '/ɾamazɒːn/', '/ɾæmæzɒːn/', '/ɾamazɔːn/', '/ɾəm.zɑːn/']"
रवा,روا,['/ɾə.ʋɑː/'],[]
रवाना,روانه,['/ɾə.ʋɑː.nɑː/'],[]
रवैया,رویه,['/ɾə.ʋə̯i.jɑː/'],[]
रसीद,رسید,['/ɾə.siːd̪/'],[]
रस्म,رسم,"['/ɾəsm/', '/ɾə.səm/']","['/ɾasm/', '/ɾasm/', '/ɾæsm/', '/ɾasm/', '/ra.sam/']"
रहनुमा,راهنما,['/ɾəɦ.nʊ.mɑː/'],[]
रहम,رحم,['/ɾə.ɦəm/'],"['/raˈhəm/', '/raˈxəm/']"
राज़,راز,"['/ɾɑːd͡ʒ/', '/ɾɑːz/']",[]
राज़ी,راضی,"['/ɾɑː.d͡ʒiː/', '/ɾɑː.ziː/']",['/ɾɑː.ziː/']
रान,ران,"['/ɾɑːn/', '/ɾɑːn/']","['/raː.na/', '/ɾɑːn/', '/ɾɒːn/', '/ɾɒːn/', '/ɾɔːn/']"
